Date,App_Name,Category,Minutes_Used
2026-07-18,TikTok,Social Media,44
2026-07-18,Instagram,Social Media,74
2026-07-18,Twitter/X,Social Media,33
2026-07-18,YouTube,Entertainment,48
2026-07-18,Netflix,Entertainment,73
2026-07-18,Spotify,Entertainment,50
2026-07-18,VS Code,Coding,16
2026-07-18,GitHub,Coding,22
2026-07-18,LeetCode,Coding,9
2026-07-18,Duolingo,Education,41
2026-07-18,Kindle,Education,39
2026-07-19,TikTok,Social Media,65
2026-07-19,Instagram,Social Media,54
2026-07-19,Twitter/X,Social Media,88
2026-07-19,YouTube,Entertainment,91
2026-07-19,Netflix,Entertainment,63
2026-07-19,Spotify,Entertainment,51
2026-07-19,VS Code,Coding,26
2026-07-19,GitHub,Coding,13
2026-07-19,LeetCode,Coding,19
2026-07-19,Duolingo,Education,28
2026-07-19,Kindle,Education,47
2026-07-19,Coursera,Education,40
2026-07-20,TikTok,Social Media,77
2026-07-20,Instagram,Social Media,76
2026-07-20,Twitter/X,Social Media,48
2026-07-20,YouTube,Entertainment,45
2026-07-20,Netflix,Entertainment,57
2026-07-20,Spotify,Entertainment,57
2026-07-20,VS Code,Coding,10
2026-07-20,GitHub,Coding,64
2026-07-20,LeetCode,Coding,60
2026-07-20,Duolingo,Education,15
2026-07-20,Kindle,Education,28
2026-07-20,Coursera,Education,13
2026-07-21,TikTok,Social Media,67
2026-07-21,Instagram,Social Media,22
2026-07-21,Twitter/X,Social Media,93
2026-07-21,YouTube,Entertainment,34
2026-07-21,Netflix,Entertainment,27
2026-07-21,Spotify,Entertainment,61
2026-07-21,VS Code,Coding,14
2026-07-21,GitHub,Coding,8
2026-07-21,LeetCode,Coding,11
2026-07-21,Duolingo,Education,15
2026-07-21,Kindle,Education,32
2026-07-21,Coursera,Education,32
2026-07-22,TikTok,Social Media,73
2026-07-22,Instagram,Social Media,35
2026-07-22,Twitter/X,Social Media,82
2026-07-22,YouTube,Entertainment,11
2026-07-22,Netflix,Entertainment,31
2026-07-22,Spotify,Entertainment,46
2026-07-22,VS Code,Coding,21
2026-07-22,GitHub,Coding,41
2026-07-22,LeetCode,Coding,28
2026-07-22,Duolingo,Education,21
2026-07-22,Kindle,Education,27
2026-07-22,Coursera,Education,45
2026-07-23,TikTok,Social Media,30
2026-07-23,Instagram,Social Media,80
2026-07-23,Twitter/X,Social Media,32
2026-07-23,YouTube,Entertainment,13
2026-07-23,Netflix,Entertainment,55
2026-07-23,Spotify,Entertainment,60
2026-07-23,VS Code,Coding,52
2026-07-23,GitHub,Coding,49
2026-07-23,LeetCode,Coding,22
2026-07-23,Duolingo,Education,9
2026-07-23,Kindle,Education,24
2026-07-23,Coursera,Education,6
2026-07-24,TikTok,Social Media,74
2026-07-24,Instagram,Social Media,48
2026-07-24,Twitter/X,Social Media,84
2026-07-24,YouTube,Entertainment,16
2026-07-24,Netflix,Entertainment,33
2026-07-24,Spotify,Entertainment,64
2026-07-24,VS Code,Coding,23
2026-07-24,GitHub,Coding,17
2026-07-24,LeetCode,Coding,13
2026-07-24,Duolingo,Education,39
2026-07-24,Kindle,Education,21
2026-07-24,Coursera,Education,34
2026-07-25,TikTok,Social Media,106
2026-07-25,Instagram,Social Media,28
2026-07-25,Twitter/X,Social Media,100
2026-07-25,YouTube,Entertainment,45
2026-07-25,Netflix,Entertainment,39
2026-07-25,Spotify,Entertainment,46
2026-07-25,VS Code,Coding,16
2026-07-25,GitHub,Coding,11
2026-07-25,LeetCode,Coding,11
2026-07-25,Duolingo,Education,23
2026-07-25,Kindle,Education,39
2026-07-25,Coursera,Education,24
2026-07-26,TikTok,Social Media,75
2026-07-26,Instagram,Social Media,77
2026-07-26,Twitter/X,Social Media,87
2026-07-26,YouTube,Entertainment,17
2026-07-26,Netflix,Entertainment,67
2026-07-26,Spotify,Entertainment,85
2026-07-26,VS Code,Coding,20
2026-07-26,GitHub,Coding,12
2026-07-26,LeetCode,Coding,37
2026-07-26,Duolingo,Education,4
2026-07-26,Kindle,Education,29
2026-07-26,Coursera,Education,24
